City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Wilmington Manor,US,39.6868,-75.5844,51.19,36,0,13.8,clear sky
1,Itaugua,PY,-25.3833,-57.3333,63.19,76,39,4.88,scattered clouds
2,Wewak,PG,-3.5534,143.6268,82.18,79,64,1.95,broken clouds
3,Vaini,TO,-21.2,-175.2,81.32,79,97,13.31,overcast clouds
4,Saint George,US,37.1041,-113.5841,85.42,9,0,7.0,clear sky
5,Codrington,AU,-38.2667,141.9667,59.41,79,100,10.0,moderate rain
6,Mawlaik,MM,23.6333,94.4167,72.59,54,69,1.74,broken clouds
7,Avarua,CK,-21.2078,-159.775,82.45,74,100,5.75,overcast clouds
8,Hobart,AU,-42.8794,147.3294,57.02,92,75,5.75,light rain
9,Tonekabon,IR,36.8163,50.8738,55.36,66,0,3.42,clear sky
10,Burnie,AU,-41.0667,145.9167,58.35,85,100,8.25,moderate rain
11,Kapaa,US,22.0752,-159.319,78.78,87,100,24.16,light rain
12,Paraiso,CR,9.8383,-83.8656,69.96,95,100,1.16,overcast clouds
13,Waitati,NZ,-45.75,170.5667,59.81,52,0,3.89,clear sky
14,Mayumba,GA,-3.432,10.6554,77.59,91,100,3.06,overcast clouds
15,Mehamn,NO,71.0357,27.8492,40.15,97,100,19.57,overcast clouds
16,Villamontes,BO,-21.25,-63.5,63.0,63,0,1.92,clear sky
17,Saldanha,ZA,-33.0117,17.9442,59.16,85,19,10.56,few clouds
18,Tasiilaq,GL,65.6145,-37.6368,32.92,98,100,10.16,light snow
19,Namatanai,PG,-3.6667,152.4333,84.58,70,93,10.27,light rain
20,Rikitea,PF,-23.1203,-134.9692,78.42,66,4,11.36,clear sky
21,Yar-Sale,RU,66.8333,70.8333,10.96,87,96,7.83,overcast clouds
22,Catia La Mar,VE,10.6038,-67.0303,82.6,74,75,2.3,broken clouds
23,Barrow,US,71.2906,-156.7887,5.02,78,0,8.05,clear sky
