City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Batagay,RU,2022-04-17 00:56:24,67.6333,134.6333,16.36,85,100,2.15
1,Jhawarian,PK,2022-04-17 00:56:24,32.3614,72.6228,75.63,31,94,5.68
2,Rikitea,PF,2022-04-17 00:53:09,-23.1203,-134.9692,78.57,69,47,13.02
3,Jamestown,US,2022-04-17 00:52:11,42.097,-79.2353,38.84,50,100,8.05
4,Terrell,US,2022-04-17 00:56:24,32.736,-96.2753,64.13,79,100,15.14
5,Albany,US,2022-04-17 00:55:34,42.6001,-73.9662,39.56,91,100,4.36
6,Punta Arenas,CL,2022-04-17 00:52:22,-53.15,-70.9167,46.51,76,40,13.8
7,Barrow,US,2022-04-17 00:56:25,71.2906,-156.7887,9.57,84,7,15.3
8,Marsh Harbour,BS,2022-04-17 00:56:25,26.5412,-77.0636,76.01,75,0,8.68
9,Kodiak,US,2022-04-17 00:55:35,57.79,-152.4072,38.77,77,100,12.5
10,Mataura,NZ,2022-04-17 00:53:07,-46.1927,168.8643,53.47,51,97,4.81
11,Mwanza,TZ,2022-04-17 00:56:26,-2.5167,32.9,67.64,87,100,2.44
12,Mao,ES,2022-04-17 00:54:02,39.8885,4.2658,61.36,63,0,6.91
13,Cayenne,GF,2022-04-17 00:56:26,4.9333,-52.3333,81.09,1,20,5.99
14,Talnakh,RU,2022-04-17 00:56:26,69.4865,88.3972,14.54,94,100,15.03
15,Hambantota,LK,2022-04-17 00:56:27,6.1241,81.1185,79.14,100,75,4.61
16,Acapulco,MX,2022-04-17 00:56:27,16.8634,-99.8901,80.1,61,6,7.65
17,Imbituba,BR,2022-04-17 00:56:27,-28.24,-48.6703,61.41,81,59,6.87
18,Kalmunai,LK,2022-04-17 00:56:28,7.4167,81.8167,78.78,88,11,9.6
19,Axim,GH,2022-04-17 00:56:28,4.8699,-2.2405,75.27,87,100,3.15
20,Poum,NC,2022-04-17 00:54:36,-20.2333,164.0167,78.46,67,5,8.46
21,Ushuaia,AR,2022-04-17 00:48:35,-54.8,-68.3,38.86,70,0,8.05
22,Vaini,TO,2022-04-17 00:56:29,-21.2,-175.2,84.36,79,75,8.05
23,Tilichiki,RU,2022-04-17 00:53:04,60.4667,166.1,30.24,89,78,5.73
24,East London,ZA,2022-04-17 00:53:00,-33.0153,27.9116,61.63,77,100,6.13
25,Portlethen,GB,2022-04-17 00:56:29,57.0547,-2.1307,53.94,99,75,3.44
26,Fort-Shevchenko,KZ,2022-04-17 00:56:29,44.5086,50.263,50.94,78,0,11.27
27,Hobart,AU,2022-04-17 00:48:28,-42.8794,147.3294,71.46,61,0,12.66
28,Honiara,SB,2022-04-17 00:54:24,-9.4333,159.95,86.43,64,97,3.85
29,Mar Del Plata,AR,2022-04-17 00:51:11,-38.0023,-57.5575,63.09,94,0,10.0
30,Creel,MX,2022-04-17 00:56:30,27.75,-107.6333,64.83,15,100,9.26
31,Farafangana,MG,2022-04-17 00:56:30,-22.8167,47.8333,73.4,85,2,3.42
